name	type
Nina Landis	PER
Australian	LOC
Australia	LOC
New York	LOC
Rikky	PER
Rikky and Pete	MISC
Komodo	MISC
Four of a Kind	MISC
Handle with Care	MISC
Embassy	MISC
Prime Time	MISC
The Keepers	MISC
One Summer Again	MISC
MDA	MISC
The Flying Doctors	MISC
Prisoner	MISC
A Country Practice	MISC
The Art and Nature of Acting	MISC
Flinders University Adelaide	ORG
1970s	TIME
Where the Party At	MISC
2001	TIME
American	LOC
Jagged Edge	ORG
Nelly	PER
three weeks	TIME
U.S.	LOC
Billboard Hot 100	MISC
five weeks	TIME
September 15 , 2001	TIME
Alicia Keys	PER
Fallin	MISC
Jennifer Lopez	PER
I 'm Real ( Murder Remix )	MISC
Best Rap/Sung Collaboration	MISC
44th Grammy Awards	MISC
2002	TIME
Eve and Gwen Stefani	ORG
Let Me Blow Your Mind	MISC
Ivy League public policy schools	ORG
Ivy League	ORG
Bachelor of Arts	MISC
Master of Public Policy	MISC
MPA	MISC
Master of International Affairs	MISC
Doctor of Philosophy	MISC
Princeton University	ORG
1930	TIME
School of Public and International Affairs	ORG
Woodrow Wilson	PER
Harvard University	ORG
Graduate School of Public Administration	ORG
1936	TIME
Yale University	ORG
Jackson Institute for Global Affairs	ORG
2010	TIME
Oxford University	ORG
Blavatnik School of Government	ORG
Europe	LOC
Public Policy	MISC
Blavatnik School	ORG
Bergqvist	PER
6 October 1962	TIME
Stockholm	LOC
Sweden	LOC
1984	TIME
Synthpop	MISC
Shanghai	LOC
two	NUM
Ballerina	MISC
Kee Marcello	PER
Harpo	PER
1987	TIME
2015	TIME
Tracks of Sweden	MISC
Simon Johansson	PER
Michael Duane " Bo " McLaughlin	PER
October 23 , 1953	TIME
Major League Baseball	ORG
1976	TIME
1982	TIME
Houston Astros	ORG
Atlanta Braves	ORG
Oakland Athletics	ORG
May 26	TIME
Chicago White Sox	ORG
Harold Baines	PER
five	NUM
Oakland	LOC
Merritt Hospital	LOC
September	TIME
A 's	ORG
Minors	ORG
1983	TIME
three	NUM
Triple - A	MISC
Chicago Cubs	ORG
Baltimore Orioles	ORG
Rockies	ORG
Abraham Lincoln Bicentennial Foundation	ORG
Abraham Lincoln Bicentennial Commission	ORG
Congress	ORG
Abraham Lincoln	PER
2009	TIME
April 30, 2010	TIME
five - year	TIME
American Civil War	MISC
Alton	LOC
Mississippi River	LOC
Madison County	LOC
Illinois	LOC
United States	LOC
Greater St. Louis	LOC
Missouri	LOC
27,865	NUM
Metro - East	LOC
Miles Davis	PER
Robert Wadlow	PER
Stephen Douglas	PER
October 1858	TIME
12,000	NUM
Confederate	ORG
Alfredo Toro Hardy	PER
Caracas	LOC
May 22 , 1950	TIME
Venezuelan	LOC
Venezuela	LOC
Washington	LOC
London	LOC
Madrid	LOC
Brasilia	LOC
Parag Khanna	PER
Kishore Mahbubani	PER
12 %	NUM
West	LOC
88%	NUM
British	LOC
Robert Harvey	PER
Toro Hardy	PER
Latin America	LOC
Cambridge University	ORG
Geoffrey Hawthorn	PER
Gabrielle Colonna-Romano	PER
1888	TIME
1981	TIME
French	LOC
Comédie - Française	ORG
1913	TIME
Sarah Bernhardt	PER
Symbolist	MISC
Saint - Pol - Roux	MISC
Pierre Renoir	PER
Auguste Renoir	PER
Jeune femme à la rose	MISC
England	LOC
Marie Bell	PER
Conservatoire	ORG
