name	type
Rebecca Mann Pennell	PER
Rebecca Mann Dean	PER
1821	TIME
1890	TIME
American	LOC
Horace Mann	PER
ten	NUM
Antioch College	ORG
Yellow Springs	LOC
Ohio	LOC
Princessa	PER
Mónica Capel Cruz	PER
Spanish	MISC
18 May 1975	TIME
World On Ice	MISC
Madrid	LOC
Spain	LOC
Gran Circo Mundial	MISC
Frank Peterson	PER
16	NUM
Europe	LOC
Japan	LOC
All I Want	MISC
Valerie Dore	PER
The Night	MISC
2014	TIME
two	NUM
Finland	LOC
2015	TIME
Gottlob Honold	PER
26 August 1876	TIME
17 March 1923	TIME
Robert Bosch	PER
7 January 1902	TIME
Langenau	LOC
Germany	LOC
10 miles	NUM
Ulm	LOC
1891	TIME
Stuttgart	LOC
14	NUM
Stuttgart technical university	ORG
1901	TIME
Daimler	ORG
1913	TIME
Seven Lakes High School	ORG
Fort Bend County	LOC
Texas	LOC
United States	LOC
Cinco Ranch	LOC
Katy	LOC
Seven Meadows	LOC
Grand Lakes	LOC
Houston	LOC
Katy Independent School District	LOC
Texas Education Agency	ORG
2008	TIME
2009	TIME
2016	TIME
27,000	NUM
US News	ORG
three	NUM
The Houston Chronicle 's Chronicle Cup	MISC
Raymond Clinton Cole	PER
August 21 , 1870	TIME
February 8 , 1957	TIME
U.S.	LOC
Ralph Dayton Cole	PER
Biglick Township	LOC
Findlay	LOC
Findlay College	ORG
nine years	TIME
Ohio Northern University	ORG
Ada	LOC
1900	TIME
Ohio National Guard	ORG
1903	TIME
1912	TIME
1916	TIME
Republican	ORG
Sixty - eighth Congresses	ORG
March 4 , 1919	TIME
March 3 , 1925	TIME
Committee on Elections	ORG
1924	TIME
Sixty - ninth Congress	ORG
February 8, 1957	TIME
Bright Cemetery	LOC
Vital Signs	MISC
Rush	ORG
Moving Pictures	MISC
The Police	ORG
Signals	MISC
Grace Under Pressure	MISC
Power Windows	MISC
New World Man	MISC
1982	TIME
Mercury # 76179	MISC
US	LOC
2010	TIME
2011	TIME
Time Machine Tour	MISC
Grace Under Pressure Tour	MISC
Emily Murphy	PER
14 March 186827 October 1933	TIME
Canadian	LOC
Canada	LOC
British Empire	LOC
The Famous Five	ORG
Henrietta Muir Edwards	PER
Nellie McClung	PER
Louise McKinney	PER
Irene Parlby	PER
1927	TIME
Persons Case	MISC
Senate	ORG
Supreme Court of Canada	ORG
Judicial Committee	ORG
British Privy Council	ORG
Sexual Sterilization Act of Alberta	MISC
China	LOC
Canadians	LOC
The Black Candle	MISC
Chinese	LOC
Yearning for Your Love	MISC
The Gap Band	ORG
Mercury Records	ORG
The Gap Band III	MISC
Four	NUM
1981	TIME
UK	LOC
Hot Soul Singles	MISC
Billboard Hot 100	MISC
Gap Band	ORG
Oliver Scott	PER
Ronnie Wilson	PER
Charlie Wilson	PER
Rocket Post	MISC
2004	TIME
British	LOC
Stephen Whittaker	PER
